,index,address,bathrooms,country,detailedType,distance,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
0,0,Via Belvedere s/n,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599943,False,Giovanni,,False,False,,False,False,41.8919683,14.7850962,Palata,False,12,sale,,25000.0,313.0,14290868,chalet,Campobasso,3,True,80.0,renew,"{'subtitle': 'Palata', 'title': 'Casa independiente en Via Belvedere s/n'}",https://img3.idealista.it/blur/WEB_LISTING/90/id.pro.it.image.master/6f/2f/83/148030211.jpg,https://www.idealista.it/immobile/14290868/
1,1,Cuglieri,1,it,{'typology': 'flat'},599935,False,Impronte,en,False,False,False,False,False,40.0912163,8.4959759,Cuglieri,False,13,sale,,130000.0,2600.0,10448174,flat,Oristano,2,False,50.0,good,"{'subtitle': 'Cuglieri', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0a/0f/f6/73606907.jpg,https://www.idealista.it/immobile/10448174/
2,2,"Via Fiume, 103",2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599929,False,VRA-1577,,False,False,,False,False,41.556948,14.324693,Castelpetroso,False,9,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",110000.0,550.0,17582375,chalet,Isernia,7,True,200.0,good,"{'subtitle': 'Castelpetroso', 'title': 'Casa independiente en Via Fiume, 103'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/49/64/f1/218690944.jpg,https://www.idealista.it/immobile/17582375/
3,3,Lungomare nord,1,it,{'typology': 'flat'},599877,False,T0009,bj,False,False,False,False,True,42.0153769,14.936035,Termoli,False,9,sale,,160000.0,2667.0,17574361,flat,Campobasso,2,False,60.0,good,"{'subtitle': 'Termoli', 'title': 'Piso en Lungomare nord'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/2f/7f/a4/218485614.jpg,https://www.idealista.it/immobile/17574361/
4,4,Contrada Pietravalle s/n,1,it,"{'typology': 'chalet', 'subTypology': 'villa'}",599650,False,131,,False,False,,True,False,41.7042057,14.5313285,Salcito,False,23,sale,,250000.0,625.0,15888256,chalet,Campobasso,7,True,400.0,good,"{'subtitle': 'Salcito', 'title': 'Villa en Contrada Pietravalle s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0b/2d/ec/185889848.jpg,https://www.idealista.it/immobile/15888256/
5,5,Acquaviva Collecroce,0,it,{'typology': 'flat'},599641,False,AG32,,False,False,False,False,False,41.8668737,14.7480721,Acquaviva Collecroce,False,9,sale,,12000.0,105.0,14968037,flat,Campobasso,5,False,114.0,renew,"{'subtitle': 'Acquaviva Collecroce', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/63/4a/e5/169873321.jpg,https://www.idealista.it/immobile/14968037/
6,6,Acquaviva Collecroce,1,it,{'typology': 'flat'},599640,False,AG35,1,False,False,False,False,False,41.8666859,14.747817,Acquaviva Collecroce,False,6,sale,,48000.0,632.0,14968298,flat,Campobasso,3,False,76.0,renew,"{'subtitle': 'Acquaviva Collecroce', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ab/39/fb/169876272.jpg,https://www.idealista.it/immobile/14968298/
7,7,Acquaviva Collecroce,4,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599637,False,AG37,,False,False,,False,False,41.8671859,14.748417,Acquaviva Collecroce,False,13,sale,,380000.0,844.0,14968428,chalet,Campobasso,7,False,450.0,good,"{'subtitle': 'Acquaviva Collecroce', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/6e/9a/05/169878370.jpg,https://www.idealista.it/immobile/14968428/
8,8,Termoli,2,it,{'typology': 'chalet'},599626,False,108 (57562466),,False,False,,False,False,42.0140005,14.9303147,Termoli,False,4,sale,,130000.0,1444.0,14608502,chalet,Campobasso,3,False,90.0,,"{'subtitle': 'Termoli', 'title': 'Chalet'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/c0/54/f5/154441830.jpg,https://www.idealista.it/immobile/14608502/
9,9,Sipicciano s/n,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599512,False,,,False,False,,False,False,41.3225611,13.9452905,Galluccio,False,40,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",100000.0,250.0,12316584,chalet,Caserta,10,True,400.0,renew,"{'subtitle': 'Galluccio', 'title': 'Casa independiente en Sipicciano s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0b/4f/be/106406151.jpg,https://www.idealista.it/immobile/12316584/
10,10,Acquaviva Collecroce,1,it,{'typology': 'flat'},599437,False,AG34,,False,False,False,False,False,41.8690859,14.747517,Acquaviva Collecroce,False,12,sale,,12000.0,160.0,14968226,flat,Campobasso,3,False,75.0,renew,"{'subtitle': 'Acquaviva Collecroce', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/67/51/ca/169875480.jpg,https://www.idealista.it/immobile/14968226/
11,11,"Via Sessa, 24",2,it,"{'typology': 'flat', 'subTypology': 'duplex'}",599370,False,r391412,bj,False,False,False,False,False,41.3089488,13.9194384,Sessa Aurunca,False,3,sale,,12103.0,79.0,16772577,duplex,Caserta,8,True,153.0,good,"{'subtitle': 'Sessa Aurunca', 'title': 'Dúplex en Via Sessa, 24'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/29/e8/39/202342008.jpg,https://www.idealista.it/immobile/16772577/
12,12,"Via Alfonso Lamarmora, 11",1,it,"{'typology': 'countryHouse', 'subTypology': 'casalicascine'}",599310,False,OR1077902,,False,False,,False,False,40.0819569,8.7629837,Paulilatino,False,0,sale,,3948.0,395.0,18020438,countryHouse,Oristano,3,True,10.0,,"{'subtitle': 'Paulilatino', 'title': 'Casa de campo/granja en Via Alfonso Lamarmora, 11'}",,https://www.idealista.it/immobile/18020438/
13,13,Via SESSA s/n,2,it,"{'typology': 'chalet', 'subTypology': 'villa'}",599219,False,,,False,False,,False,False,41.3100456,13.9183831,Sessa Aurunca,False,74,sale,,850000.0,202.0,17033715,chalet,Caserta,4,True,4200.0,good,"{'subtitle': 'Sessa Aurunca', 'title': 'Villa en Via SESSA s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/06/b5/74/207600325.jpg,https://www.idealista.it/immobile/17033715/
14,14,Contrada Fucilieri,1,it,{'typology': 'flat'},599122,False,(64857752),en,False,False,False,False,False,42.0093765,14.9165779,Termoli,False,0,sale,,180000.0,1800.0,13666152,flat,Campobasso,4,False,100.0,,"{'subtitle': 'Termoli', 'title': 'Piso en Contrada Fucilieri'}",,https://www.idealista.it/immobile/13666152/
15,15,"Via Civera, 2",3,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599108,False,,,False,False,,False,False,41.3093403,13.9150208,Sessa Aurunca,False,17,sale,,90000.0,448.0,15544457,chalet,Caserta,11,True,201.0,renew,"{'subtitle': 'Sessa Aurunca', 'title': 'Casa independiente en Via Civera, 2'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/64/b2/4c/179384910.jpg,https://www.idealista.it/immobile/15544457/
16,16,Sessa Aurunca,3,it,{'typology': 'countryHouse'},599077,False,SP63RM,,False,False,,False,False,41.3121252,13.9191539,Sessa Aurunca,False,32,sale,,265000.0,431.0,17912472,countryHouse,Caserta,22,False,615.0,good,"{'subtitle': 'Sessa Aurunca', 'title': 'Casa rural'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0e/c2/01/225405678.jpg,https://www.idealista.it/immobile/17912472/
17,17,Via Martini,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",599019,False,,,False,False,,True,False,40.0844932,8.7650368,Paulilatino,False,43,sale,,250000.0,419.0,17867113,chalet,Oristano,12,False,596.0,renew,"{'subtitle': 'Paulilatino', 'title': 'Casa independiente en Via Martini'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0f/8e/80/224533507.jpg,https://www.idealista.it/immobile/17867113/
18,18,"Via Sessa Mignano, 63",1,it,{'typology': 'flat'},599006,False,,bj,False,False,False,False,False,41.3122222,13.917937,Sessa Aurunca,False,10,sale,,50000.0,556.0,18099479,flat,Caserta,4,True,90.0,good,"{'subtitle': 'Sessa Aurunca', 'title': 'Piso en Via Sessa Mignano, 63'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ff/1f/33/228907423.jpg,https://www.idealista.it/immobile/18099479/
19,19,Strada PROVINCIALE PER COSTA,2,it,{'typology': 'flat'},598809,False,30631042-331 (2525812),bj,False,False,False,True,False,41.4669909,14.166878,Capriati a Volturno,False,19,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",75000.0,375.0,17067343,flat,Caserta,3,False,200.0,renew,"{'subtitle': 'Capriati a Volturno', 'title': 'Piso en Strada PROVINCIALE PER COSTA'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b7/dd/7f/208221514.jpg,https://www.idealista.it/immobile/17067343/
20,20,Via Giacomo Matteotti s/n,2,it,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}",598785,False,R/1959,,False,False,,False,False,41.3399491,13.9605179,Galluccio,False,28,sale,,65000.0,591.0,17636478,chalet,Caserta,3,True,110.0,good,"{'subtitle': 'Galluccio', 'title': 'Chalet adosado en Via Giacomo Matteotti s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/54/33/ee/220098374.jpg,https://www.idealista.it/immobile/17636478/
21,21,"Via Camillo Benso Conte di Cavour, 3",1,it,{'typology': 'flat'},598731,False,OR1226115,,False,False,,False,False,40.0923226,8.6553942,Bonarcado,False,0,sale,,59400.0,724.0,16885479,flat,Oristano,4,True,82.0,,"{'subtitle': 'Bonarcado', 'title': 'Piso en Via Camillo Benso Conte di Cavour, 3'}",,https://www.idealista.it/immobile/16885479/
22,22,Via Asia s/n,1,it,{'typology': 'flat'},598657,False,OR1206895,,False,False,,False,False,40.0877931,8.764037,Paulilatino,False,0,sale,,44508.0,148.0,16406852,flat,Oristano,18,True,300.0,,"{'subtitle': 'Paulilatino', 'title': 'Piso en Via Asia s/n'}",,https://www.idealista.it/immobile/16406852/
23,23,Via Ceci s/n,3,it,"{'typology': 'flat', 'subTypology': 'duplex'}",598641,False,,bj,False,False,False,True,False,41.3348677,13.9492051,Galluccio,False,59,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",350000.0,1215.0,16689456,duplex,Caserta,10,True,288.0,good,"{'subtitle': 'Galluccio', 'title': 'Dúplex en Via Ceci s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b1/03/56/200445617.jpg,https://www.idealista.it/immobile/16689456/
24,24,Longano,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",598632,False,V048,,False,False,,False,False,41.52127,14.24747,Longano,False,10,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",47000.0,392.0,16594796,chalet,Isernia,5,False,120.0,good,"{'subtitle': 'Longano', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/76/87/6d/198819054.jpg,https://www.idealista.it/immobile/16594796/
25,25,Longano,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",598599,False,V041,,False,False,,False,False,41.52107,14.24657,Longano,False,11,sale,,69000.0,531.0,15983275,chalet,Isernia,6,False,130.0,good,"{'subtitle': 'Longano', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/d8/b0/61/188013654.jpg,https://www.idealista.it/immobile/15983275/
26,26,Galluccio,1,it,{'typology': 'chalet'},598583,False,V2079,,False,False,,False,False,41.339723,13.9562569,Galluccio,False,10,sale,,39000.0,780.0,17525725,chalet,Caserta,2,False,50.0,good,"{'subtitle': 'Galluccio', 'title': 'Chalet'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ed/c9/55/217474446.jpg,https://www.idealista.it/immobile/17525725/
27,27,Galluccio,1,it,{'typology': 'countryHouse'},598463,False,v2108,,False,False,,False,False,41.3408209,13.9557899,Galluccio,False,10,sale,,19000.0,173.0,17895561,countryHouse,Caserta,3,False,110.0,good,"{'subtitle': 'Galluccio', 'title': 'Casa rural'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ed/c2/d7/225059855.jpg,https://www.idealista.it/immobile/17895561/
28,28,"Via Bettino Craxi, 64",2,it,"{'typology': 'chalet', 'subTypology': 'villa'}",598426,False,,,False,False,,False,False,41.22699,13.7576072,Minturno,False,5,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",88000.0,419.0,14191712,chalet,Latina,5,True,210.0,renew,"{'subtitle': 'Minturno', 'title': 'Villa en Via Bettino Craxi, 64'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/d5/ce/72/146189422.jpg,https://www.idealista.it/immobile/14191712/
29,29,Contrada Fucilieri s/n,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",598419,False,,,False,False,,False,False,42.017066,14.914412,Termoli,False,4,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",160000.0,640.0,17402484,chalet,Campobasso,4,True,250.0,good,"{'subtitle': 'Termoli', 'title': 'Casa independiente en Contrada Fucilieri s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/84/0a/51/214958876.jpg,https://www.idealista.it/immobile/17402484/
30,30,Via napoli,4,it,{'typology': 'flat'},598388,False,T902,bj,False,False,False,True,False,41.3406021,13.9539607,Galluccio,False,21,sale,,119000.0,476.0,12559547,flat,Caserta,9,False,250.0,good,"{'subtitle': 'Galluccio', 'title': 'Piso en Via napoli'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/5c/0d/40/111690516.jpg,https://www.idealista.it/immobile/12559547/
31,31,"SS16, 62",1,it,{'typology': 'flat'},598373,False,0484,1,False,False,False,False,False,42.0172618,14.9138995,Termoli,False,16,sale,,130000.0,4333.0,18051701,flat,Campobasso,2,True,30.0,good,"{'subtitle': 'Termoli', 'title': 'Piso en SS16, 62'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/61/06/14/228025802.jpg,https://www.idealista.it/immobile/18051701/
32,32,Via statale adriatica s/n,1,it,{'typology': 'flat'},598358,False,0447,bj,False,False,False,False,False,42.0174901,14.9139386,Termoli,False,8,sale,,150000.0,3000.0,14894599,flat,Campobasso,2,True,50.0,good,"{'subtitle': 'Termoli', 'title': 'Piso en Via statale adriatica s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/6e/fb/9a/168391109.jpg,https://www.idealista.it/immobile/14894599/
33,33,Strada provinciale 163 s/n,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",598303,False,,,False,False,,False,False,41.9022417,14.77088,Tavenna,False,16,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",22000.0,152.0,16121503,chalet,Campobasso,4,True,145.0,good,"{'subtitle': 'Tavenna', 'title': 'Casa independiente en Strada provinciale 163 s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/9a/0c/d7/190485358.jpg,https://www.idealista.it/immobile/16121503/
34,34,Via s'arizzone s/n,1,it,"{'typology': 'flat', 'subTypology': 'duplex'}",598217,False,le21,bj,False,False,False,False,False,40.107058,8.4913039,Cuglieri,False,10,sale,,120000.0,2000.0,15747309,duplex,Oristano,2,True,60.0,good,"{'subtitle': 'Cuglieri', 'title': ""Dúplex en Via s'arizzone s/n""}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/27/7b/87/182932404.jpg,https://www.idealista.it/immobile/15747309/
35,35,Via Oristano s/n,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",598213,False,(55300650),,False,False,,False,False,40.096932,8.6565702,Bonarcado,False,27,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",105000.0,955.0,17997793,chalet,Oristano,5,True,110.0,good,"{'subtitle': 'Bonarcado', 'title': 'Casa independiente en Via Oristano s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/08/f7/e9/226998219.jpg,https://www.idealista.it/immobile/17997793/
36,36,Strada Statale 292 Nord Occidentale Sarda,1,it,{'typology': 'flat'},598177,False,le20,bj,False,False,False,False,False,40.1075268,8.4898074,Cuglieri,False,19,sale,,120000.0,1412.0,18070243,flat,Oristano,3,False,85.0,good,"{'subtitle': 'Cuglieri', 'title': 'Piso en Strada Statale 292 Nord Occidentale Sarda'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b7/a2/8e/228365909.jpg,https://www.idealista.it/immobile/18070243/
37,37,Cuglieri,2,it,{'typology': 'flat'},598176,False,Baia Romantica,bj,False,False,False,False,False,40.1076212,8.4884957,Cuglieri,False,31,sale,,150000.0,1042.0,17174368,flat,Oristano,7,False,144.0,good,"{'subtitle': 'Cuglieri', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/39/30/00/210320474.jpg,https://www.idealista.it/immobile/17174368/
38,38,"Via Sardegna, 19",1,it,{'typology': 'flat'},598119,False,OR1135612,,False,False,,False,False,40.097873,8.6547699,Bonarcado,False,0,sale,,17460.0,388.0,15040809,flat,Oristano,3,True,45.0,,"{'subtitle': 'Bonarcado', 'title': 'Piso en Via Sardegna, 19'}",,https://www.idealista.it/immobile/15040809/
39,39,Via Porto Galeo,1,it,{'typology': 'flat'},598083,False,Via Porto Galeo n. 2210  (71914196),1,False,False,False,True,False,41.2501032,13.7919273,Santi Cosma e Damiano,False,12,sale,,72631.0,519.0,16342553,flat,Latina,6,False,140.0,good,"{'subtitle': 'Santi Cosma e Damiano', 'title': 'Piso en Via Porto Galeo'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/79/be/0b/194371345.jpg,https://www.idealista.it/immobile/16342553/
40,40,Santi Cosma e Damiano,2,it,{'typology': 'flat'},598082,False,01-497,,False,False,,False,False,41.2657537,13.8194989,Santi Cosma e Damiano,False,4,sale,,150000.0,500.0,16592922,flat,Latina,3,False,300.0,,"{'subtitle': 'Santi Cosma e Damiano', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/06/6a/ca/198785932.jpg,https://www.idealista.it/immobile/16592922/
41,41,"Via Trieste, 20",3,it,{'typology': 'flat'},598069,False,VRA-1326,bj,False,False,False,False,False,41.420364,14.079041,Sesto Campano,False,9,sale,,65000.0,325.0,12599052,flat,Isernia,6,True,200.0,good,"{'subtitle': 'Sesto Campano', 'title': 'Piso en Via Trieste, 20'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/1d/81/9f/112353472.jpg,https://www.idealista.it/immobile/12599052/
42,42,Sesto Campano,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597980,False,1625/SESTOCAMPANO (71761056),,False,False,,False,False,41.42011,14.07697,Sesto Campano,False,13,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",65000.0,500.0,16620766,chalet,Isernia,5,False,130.0,good,"{'subtitle': 'Sesto Campano', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/c8/83/ec/199255097.jpg,https://www.idealista.it/immobile/16620766/
43,43,Via DELLE TERME,2,it,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",597948,False,,,False,False,,False,False,41.2937412,13.8655827,Castelforte,False,13,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",85000.0,425.0,16015254,countryHouse,Latina,6,False,200.0,renew,"{'subtitle': 'Castelforte', 'title': 'Casa de pueblo en Via DELLE TERME'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/fe/c7/f2/188399443.jpg,https://www.idealista.it/immobile/16015254/
44,44,"SS16, 246",2,it,{'typology': 'flat'},597935,False,AV 037,1,False,False,True,False,False,42.0183014,14.9080497,Termoli,False,14,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",225000.0,2813.0,11702622,flat,Campobasso,3,True,80.0,good,"{'subtitle': 'Termoli', 'title': 'Piso en SS16, 246'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/e5/b5/f2/95546157.jpg,https://www.idealista.it/immobile/11702622/
45,45,Galluccio,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597860,False,1623/VAGLIE (71368248),,False,False,,False,False,41.3512458,13.9616514,Galluccio,False,16,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",28000.0,467.0,16620758,chalet,Caserta,4,False,60.0,good,"{'subtitle': 'Galluccio', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/34/5c/07/199255030.jpg,https://www.idealista.it/immobile/16620758/
46,46,Santi Cosma e Damiano,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597794,False,,,False,False,,True,False,41.2721096,13.8249507,Santi Cosma e Damiano,False,9,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",100000.0,1250.0,16403576,chalet,Latina,4,False,80.0,good,"{'subtitle': 'Santi Cosma e Damiano', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ef/79/0c/195407250.jpg,https://www.idealista.it/immobile/16403576/
47,47,Via starza,1,it,"{'typology': 'chalet', 'subTypology': 'villa'}",597752,False,CL56471,,False,False,,False,False,41.344843,13.948828,Galluccio,False,25,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",60000.0,923.0,17259954,chalet,Caserta,3,False,65.0,good,"{'subtitle': 'Galluccio', 'title': 'Villa en Via starza'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/6f/be/50/212064993.jpg,https://www.idealista.it/immobile/17259954/
48,48,Vico I° Cappella,1,it,{'typology': 'flat'},597744,False,Rif AV 063,1,False,False,False,False,False,41.905265,14.765423,Tavenna,False,20,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",35000.0,269.0,5759671,flat,Campobasso,5,False,130.0,good,"{'subtitle': 'Tavenna', 'title': 'Piso en Vico I° Cappella'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/59/26/67/11829940.jpeg,https://www.idealista.it/immobile/5759671/
49,49,Via Pantano Arenile,3,it,"{'typology': 'chalet', 'subTypology': 'villa'}",597726,False,,,False,False,,False,False,41.2319895,13.7525192,Minturno,False,32,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",360000.0,900.0,17803277,chalet,Latina,10,False,400.0,good,"{'subtitle': 'Minturno', 'title': 'Villa en Via Pantano Arenile'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/1b/07/d3/223255086.jpg,https://www.idealista.it/immobile/17803277/
50,0,Via delle terme s/n,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597671,False,W-02GS3E,,False,False,,False,False,41.2938154,13.8602923,Castelforte,False,6,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",120000.0,300.0,17983526,chalet,Latina,8,True,400.0,renew,"{'subtitle': 'Castelforte', 'title': 'Casa independiente en Via delle terme s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3f/24/e6/226875972.jpg,https://www.idealista.it/immobile/17983526/
51,1,Via dei cardellini s/n,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597651,False,(54677435),,False,False,,False,False,40.1122543,8.4901515,Cuglieri,False,14,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",185000.0,974.0,13947978,chalet,Oristano,7,True,190.0,good,"{'subtitle': 'Cuglieri', 'title': 'Casa independiente en Via dei cardellini s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/6d/13/0c/154958222.jpg,https://www.idealista.it/immobile/13947978/
52,2,"Via Virilassi, 13",2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597601,False,A182VRG,,False,False,,False,False,41.2402105,13.76473,Minturno,False,15,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",140000.0,1647.0,18105302,chalet,Latina,4,True,85.0,renew,"{'subtitle': 'Minturno', 'title': 'Casa independiente en Via Virilassi, 13'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/e0/1e/cd/229022994.jpg,https://www.idealista.it/immobile/18105302/
53,3,Tavenna,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597529,False,CV11,,False,False,,False,False,41.9075604,14.7647625,Tavenna,False,20,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",90000.0,360.0,17036467,chalet,Campobasso,7,False,250.0,good,"{'subtitle': 'Tavenna', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ba/ae/81/207641479.jpg,https://www.idealista.it/immobile/17036467/
54,4,"Via Monte D'Argento, 74",1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597510,False,,,False,False,,False,False,41.2338169,13.7514678,Minturno,False,9,sale,,65000.0,1250.0,14839669,chalet,Latina,3,True,52.0,good,"{'subtitle': 'Minturno', 'title': ""Casa independiente en Via Monte D'Argento, 74""}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0f/4a/d9/166488289.jpg,https://www.idealista.it/immobile/14839669/
55,5,Minturno,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",597405,False,A101VRG,,False,False,,False,False,41.2445578,13.7685595,Minturno,False,20,sale,,140000.0,1333.0,17127373,chalet,Latina,4,False,105.0,,"{'subtitle': 'Minturno', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/21/db/b6/209422067.jpg,https://www.idealista.it/immobile/17127373/
56,6,"Via Pontenuovo, 68",0,it,"{'typology': 'countryHouse', 'subTypology': 'masseria'}",597398,False,VRA-1579,,False,False,,False,False,41.5899827,14.3282405,Carpinone,False,6,sale,,38000.0,362.0,17915691,countryHouse,Isernia,2,True,105.0,renew,"{'subtitle': 'Carpinone', 'title': 'Masseria en Via Pontenuovo, 68'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/ef/dc/4e/225473904.jpg,https://www.idealista.it/immobile/17915691/
57,7,Via delle Terme,2,it,{'typology': 'flat'},597250,False,cp073,1,False,False,False,False,False,41.2903225,13.8459607,Castelforte,False,12,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': False, 'parkingSpacePrice': 0.0}",123000.0,842.0,12697819,flat,Latina,6,False,146.0,good,"{'subtitle': 'Castelforte', 'title': 'Piso en Via delle Terme'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/2f/2d/38/114068402.jpg,https://www.idealista.it/immobile/12697819/
